player_name,canonical_id,pitcher_idx,espn_id,throws,bats,position,source
Evan Hurlbur,NCAA_614846,4672,,,,SP,pitcher_table
Jerrod Jenkins,NCAA_614764,4671,,R,,RP,pitcher_table
Christian Delgado,NCAA_614631,4670,,,,SP,pitcher_table
O'FARRELL,NCAA_614750,4669,,,,SP,pitcher_table
Luke Puffinb,NCAA_614776,4668,,,,SP,pitcher_table
Zachary Laviage,NCAA_614790,4667,,,,SP,pitcher_table
Brafa,NCAA_614762,4666,,,,SP,pitcher_table
Jordan Haver,NCAA_614768,4665,,,,RP,pitcher_table
Luke Alwood,NCAA_614833,4664,,,,RP,pitcher_table
D. Grant,NCAA_614574,4663,,L,,RP,pitcher_table
Larson,NCAA_614568,4662,,,,SP,pitcher_table
B. MCKNIGHT,NCAA_614730,4661,,,,SP,pitcher_table
DeMaro,NCAA_614647,4660,,,,SP,pitcher_table
Doganiero,NCAA_614710,4659,,,,SP,pitcher_table
Wiatrek,NCAA_614707,4658,,R,,SP,pitcher_table
Hunter Porter,NCAA_614860,4657,,,,SP,pitcher_table
Alec Ammerman,NCAA_614743,4656,,,,SP,pitcher_table
Adrian Blanchet,NCAA_614576,4655,,,,SP,pitcher_table
Cody Underwood,NCAA_614840,4654,,,,SP,pitcher_table
Ryan Martinez,NCAA_614786,4653,,,,SP,pitcher_table
Walker,BSB_DUKE,4652,,R,,RP,pitcher_table
Kimbrell,NCAA_614813,4651,,,,RP,pitcher_table
Jeb Johnson,NCAA_614659,4650,,,,RP,pitcher_table
Carrasquilla,NCAA_614862,4649,,,,RP,pitcher_table
Huddleston,NCAA_614752,4648,,,,RP,pitcher_table
Chayse Oxborrow,NCAA_614676,4647,,,,SP,pitcher_table
A Zerr,BSB_NOTRE_DAME,4645,,R,,SP,pitcher_table
Eli Bowery,NCAA_614832,4644,,,,RP,pitcher_table
Cartron,NCAA_614797,4643,,,,SP,pitcher_table
Jose Cherena,NCAA_614851,4642,,,,RP,pitcher_table
Sharp,NCAA_614817,4641,,,,SP,pitcher_table
Brendan Conner,NCAA_614849,4640,95382,R,,SP,pitcher_table
Jack Brafa,NCAA_614762,4639,95721,,,SP,pitcher_table
Young,NCAA_614822,4638,,,,SP,pitcher_table
Taylor Rabe,BSB_OLE_MISS,4637,,R,,SP,pitcher_table
Ruhl,NCAA_614590,4636,,,,RP,pitcher_table
Jake Schultz,NCAA_614563,4635,,,,RP,pitcher_table
Carter Fink,BSB_KANSAS,4634,,,,SP,pitcher_table
Zach KWASNY,NCAA_614859,4633,,,,SP,pitcher_table
Gunna Brown,NCAA_614794,4632,,,,SP,pitcher_table
Garyson Smiddy,NCAA_614564,4631,,L,,SP,pitcher_table
Levin East,NCAA_614758,4630,,,,SP,pitcher_table
Bauer,NCAA_614634,4629,,,,SP,pitcher_table
Luke Sullivan,NCAA_614746,4628,,,,SP,pitcher_table
Cooper Harrington,BSB_LIBERTY,4627,,,,SP,pitcher_table
Brady Thomas,NCAA_614632,4626,,,,SP,pitcher_table
Kross Howarth,NCAA_621265,4625,,,,SP,pitcher_table
Drew Grumbles,BSB_BOSTON_COLLEGE,4624,,,,SP,pitcher_table
Kenton Deverman,NCAA_614770,4623,,,,SP,pitcher_table
Quinn Finnegan,NCAA_614808,4622,,,,RP,pitcher_table
Harrison Engle,NCAA_614601,4621,,,,RP,pitcher_table
Puglisi,NCAA_614736,4620,,R,,SP,pitcher_table
Moran,NCAA_614781,4619,,,,SP,pitcher_table
I. Goodness,NCAA_614760,4618,,R,,RP,pitcher_table
Brandon Stephens,NCAA_614588,4617,,R,,RP,pitcher_table
Colin Ducie,NCAA_614647,4616,,,,SP,pitcher_table
N. BERNARD,NCAA_614740,4615,,R,,RP,pitcher_table
Dallis Moran,NCAA_614781,4614,96144,,,RP,pitcher_table
P. Howe,NCAA_614709,4613,,R,,SP,pitcher_table
Andrew Bowers,NCAA_614583,4612,97580,,,SP,pitcher_table
Ty Brooks,NCAA_614626,4611,92832,R,,SP,pitcher_table
Trace Hartman,NCAA_614781,4610,96138,,,SP,pitcher_table
Aiden Paul,NCAA_614766,4609,98622,,,SP,pitcher_table
Jackson Gowan,NCAA_614757,4608,96988,,,SP,pitcher_table
Jackson Cook,NCAA_614734,4607,98439,,,SP,pitcher_table
Eli Green,NCAA_614695,4605,98786,R,,SP,pitcher_table
Grant Parson,NCAA_614626,4604,92852,R,,SP,pitcher_table
Charles Rogers,NCAA_614569,4603,98804,,,SP,pitcher_table
Joseph Dimino,NCAA_614835,4602,88659,,,SP,pitcher_table
Aidan Flinn,BSB_ILLINOIS,4601,98679,,,SP,pitcher_table
David Case,NCAA_614658,4600,91176,,,SP,pitcher_table
Mason Christopher,NCAA_614735,4599,98489,,,SP,pitcher_table
Evan Myers,NCAA_614813,4598,98175,,,SP,pitcher_table
Walls,NCAA_614841,4597,,,,SP,pitcher_table
Drew Mattox,NCAA_614752,4596,,,,RP,pitcher_table
Trey Packen,NCAA_614650,4595,,,,SP,pitcher_table
Nate Matoush,NCAA_614591,4594,,,,SP,pitcher_table
Tate Evans,NCAA_614823,4593,,R,,RP,pitcher_table
Jackson Miller,NCAA_614865,4592,,,,SP,pitcher_table
Ethan Lyke,NCAA_614673,4591,,,,SP,pitcher_table
Rex Hauser,NCAA_614649,4590,,R,,RP,pitcher_table
M MARROQUIN,NCAA_614832,4589,,,,RP,pitcher_table
Yoni Castro,NCAA_614851,4588,,,,SP,pitcher_table
B. Thornton,NCAA_614678,4587,,R,,SP,pitcher_table
Gregory Quintana,NCAA_614639,4586,,R,,RP,pitcher_table
Tyson Potts,NCAA_614581,4585,,R,,SP,pitcher_table
Evan Esch,NCAA_614785,4584,,,,SP,pitcher_table
Mark Rogers,NCAA_614578,4583,,,,RP,pitcher_table
Bowers,NCAA_614583,4582,,,,RP,pitcher_table
Chris Brown,NCAA_614667,4581,,,,SP,pitcher_table
Brady LeJeun,NCAA_614653,4580,,,,RP,pitcher_table
Jayde Lopez,NCAA_614631,4579,,,,SP,pitcher_table
Walker,NCAA_614690,4578,,L,,SP,pitcher_table
Alec Bouchard,NCAA_614765,4577,,,,SP,pitcher_table
Reid BERTRAM,NCAA_614829,4576,,L,,SP,pitcher_table
Marcus Monroe,NCAA_614727,4575,,,,SP,pitcher_table
Case,NCAA_614658,4574,,,,SP,pitcher_table
Ethan Wendel,NCAA_614761,4573,,,,SP,pitcher_table
Kevin Reed,NCAA_614770,4572,,,,SP,pitcher_table
Lafferty,NCAA_614710,4571,,R,,SP,pitcher_table
Jack Pezzolo,NCAA_614573,4570,,L,,SP,pitcher_table
Jacob Jette,NCAA_614647,4569,,,,SP,pitcher_table
Hartman,NCAA_614781,4568,,,,SP,pitcher_table
Cooper Jones,NCAA_614597,4567,,,,SP,pitcher_table
BROWN,NCAA_621265,4566,,,,SP,pitcher_table
Jack Korthas,NCAA_614586,4565,,L,,RP,pitcher_table
PJ Fitzpatrick,NCAA_614765,4564,,,,SP,pitcher_table
Grant Edwards,NCAA_614784,4563,,,,RP,pitcher_table
Justin Battle,NCAA_614843,4562,,,,RP,pitcher_table
Mason Christ,NCAA_614735,4561,,,,SP,pitcher_table
L. Kinneen,NCAA_614713,4560,,R,,SP,pitcher_table
EDWARDS,NCAA_621265,4559,,,,RP,pitcher_table
Zach Wieder,NCAA_614834,4558,,,,SP,pitcher_table
Danny Cihocki,NCAA_614694,4557,,R,,SP,pitcher_table
Ashton Bassett,NCAA_614761,4556,,,,SP,pitcher_table
Maddox Moren,NCAA_614706,4555,,,,SP,pitcher_table
Pettey,NCAA_614565,4554,,R,,RP,pitcher_table
Bowman,BSB_GONZAGA,4553,,L,,SP,pitcher_table
Guzman,NCAA_614819,4552,,,,SP,pitcher_table
Brady Hoover,NCAA_614643,4551,,R,,SP,pitcher_table
Smith,NCAA_614621,4550,,R,,SP,pitcher_table
Connor Lockwood,NCAA_614801,4549,,R,,SP,pitcher_table
Trenton Shaw,NCAA_614771,4548,,,,SP,pitcher_table
Anthony Mate,NCAA_614846,4547,,,,SP,pitcher_table
Joseph Duffield,NCAA_614650,4546,,,,SP,pitcher_table
B. NACE,NCAA_614716,4545,,,,SP,pitcher_table
