pitcher_espn_id,pitcher_idx,pitcher_name,team_canonical_id,season,throws,role,season_ip,season_era,fip,siera,fb_pct,fb_sensitivity,d1b_ability_adj,d1b_ability_source,n_appearances,last_appearance
,0,Jake Memoli,NCAA_614601,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-03-18
,0,Potteiger,NCAA_614581,2026,L,RP,4.0,,,,,1.0,0.0,,1,2026-02-20
,0,A. Moraitaki,NCAA_614838,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-20
,0,Shane Duke,NCAA_614838,2026,,RP,2.0,,,,,1.0,0.0,,1,2026-02-14
,0,Andrew Perry,NCAA_614838,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-14
,0,R. Capistran,NCAA_614771,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-03-01
,0,N. Robinson,NCAA_614771,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-03-01
,0,Mahoney,NCAA_614692,2026,R,RP,1.0,,,,,1.0,0.0,,1,2026-03-01
,0,M. Horati,NCAA_614771,2026,,RP,2.0,,,,,1.0,0.0,,1,2026-03-01
,0,Basel,NCAA_614692,2026,R,RP,3.0,,,,,1.0,0.0,,1,2026-03-01
,0,Hauser,NCAA_614692,2026,R,RP,2.0,,,,,1.0,0.0,,1,2026-02-27
,0,Hammond,NCAA_614581,2026,L,RP,1.0,,,,,1.0,0.0,,1,2026-02-21
,0,K. Samuels,NCAA_614815,2026,R,RP,1.0,,,,,1.0,0.0,,1,2026-03-18
,0,B. Vawter,NCAA_614815,2026,L,RP,1.0,,,,,1.0,0.0,,1,2026-03-18
,0,Stumpf,NCAA_614581,2026,R,RP,1.0,,,,,1.0,0.0,,1,2026-02-21
,0,S. Duke,NCAA_614838,2026,,RP,2.0,,,,,1.0,0.0,,1,2026-02-21
,0,D. Newman,NCAA_614804,2026,,RP,2.0,,,,,1.0,0.0,,1,2026-02-14
,0,Parnell,NCAA_614695,2026,R,SP,1.0,,,,,1.0,0.0,,1,2026-03-18
,0,Karbowski,BSB_LOUISVILLE,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-03-18
,0,Hoyt,BSB_LOUISVILLE,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-03-18
,0,French,NCAA_614695,2026,R,RP,1.0,,,,,1.0,0.0,,1,2026-03-18
,0,Cortner,NCAA_614695,2026,L,RP,1.0,,,,,1.0,0.0,,1,2026-03-18
,0,Jake Echols,NCAA_614606,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-03-07
,0,Colin Dowdle,NCAA_614620,2026,,RP,2.0,,,,,1.0,0.0,,1,2026-03-02
,0,Tommy Brandenburg,BSB_WASHINGTON,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-24
,0,Liam Lierman,BSB_WASHINGTON,2026,,RP,3.0,,,,,1.0,0.0,,1,2026-02-24
,0,Zufall,BSB_BYU,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-16
,0,Marx,BSB_BYU,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-16
,0,Bell,BSB_BYU,2026,,RP,2.0,,,,,1.0,0.0,,1,2026-02-16
,0,Henry Hardin,NCAA_614620,2026,,RP,2.0,,,,,1.0,0.0,,1,2026-02-27
,0,P Galvin,NCAA_614833,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-27
,0,S. Parnell,NCAA_614695,2026,R,RP,1.0,,,,,1.0,0.0,,1,2026-02-25
,0,Hager,NCAA_614671,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-25
,0,G. Wentz,NCAA_614695,2026,R,RP,1.0,,,,,1.0,0.0,,1,2026-02-25
,0,Furtado,NCAA_614671,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-25
,0,Ryan Stone,NCAA_614833,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-03-25
,0,Isaac Hallam,NCAA_614833,2026,,RP,2.0,,,,,1.0,0.0,,1,2026-03-25
,0,Harrison Hoffarth,NCAA_614833,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-03-25
,0,Camden Oram,NCAA_614833,2026,,SP,3.0,,,,,1.0,0.0,,1,2026-03-25
,0,Jack Reyes,NCAA_614620,2026,,RP,2.0,,,,,1.0,0.0,,1,2026-03-01
,0,Aidan Gilber,NCAA_614620,2026,,RP,3.0,,,,,1.0,0.0,,1,2026-03-01
,0,Brett Mullig,NCAA_614620,2026,,RP,3.0,,,,,1.0,0.0,,1,2026-02-28
,0,B. Mulligan,NCAA_614620,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-14
,0,Jacob Fields,NCAA_614688,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-16
,0,EASTERLIN,NCAA_614699,2026,R,RP,1.0,,,,,1.0,0.0,,1,2026-03-06
,0,RUPPENTHAL,NCAA_614699,2026,R,RP,1.0,,,,,1.0,0.0,,1,2026-03-07
,0,VINCENT,NCAA_614788,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-03-06
