event_id,game_date,season,home_canonical_id,away_canonical_id,home_pitcher_espn_id,away_pitcher_espn_id,home_run_1,home_run_2,home_run_3,home_run_4,away_run_1,away_run_2,away_run_3,away_run_4,home_score,away_score
401633068,2024-04-26,2024,BSB_TCU,NCAA_614635,77518,50668,10,1,0,0,0,0,0,0,12,0
401628157,2024-04-26,2024,BSB_LSU,BSB_AUBURN,77072,77432,3,1,0,0,0,0,0,0,5,0
401628287,2024-04-27,2024,NCAA_614788,BSB_GEORGIA,77750,64930,0,0,0,1,0,0,0,1,19,9
401628288,2024-04-27,2024,NCAA_614788,BSB_GEORGIA,65630,64939,0,0,0,1,0,0,0,1,4,5
401627991,2024-04-27,2024,BSB_ARKANSAS,BSB_FLORIDA,66068,54613,3,1,0,0,3,1,0,1,5,9
401628822,2024-04-27,2024,BSB_TENNESSEE,BSB_MISSOURI,52628,54878,0,0,1,0,2,0,0,0,3,2
401632238,2024-04-27,2024,BSB_SOUTH_CAROLINA,BSB_KENTUCKY,60823,77652,4,3,1,0,9,3,0,0,13,15
401632658,2024-04-27,2024,BSB_NOTRE_DAME,BSB_WAKE_FOREST,80385,57761,4,2,1,0,1,1,0,0,11,3
401628739,2024-04-27,2024,BSB_OLE_MISS,BSB_ALABAMA,54853,9742,1,1,0,0,8,1,0,0,3,10
401633069,2024-04-27,2024,BSB_TCU,NCAA_614635,65422,55189,3,2,0,0,4,0,0,0,7,4
401633708,2024-04-27,2024,BSB_WEST_VIRGINIA,BSB_BAYLOR,81330,67375,5,0,0,0,2,0,0,0,5,2
401632576,2024-04-27,2024,BSB_GEORGIA_TECH,NCAA_614661,77173,57457,4,1,1,0,4,0,0,0,9,4
401628158,2024-04-27,2024,BSB_LSU,BSB_AUBURN,77070,65349,1,1,0,0,0,1,0,0,3,2
401632239,2024-04-28,2024,BSB_SOUTH_CAROLINA,BSB_KENTUCKY,64993,54443,6,2,0,0,0,0,0,0,10,0
401627887,2024-04-28,2024,BSB_LOUISVILLE,BSB_CLEMSON,59009,57149,3,2,0,0,6,4,1,0,7,17
401632659,2024-04-28,2024,BSB_NOTRE_DAME,BSB_WAKE_FOREST,70495,57366,6,1,0,0,1,3,0,0,8,7
401628781,2024-04-28,2024,BSB_VANDERBILT,NCAA_614666,54563,65203,0,0,0,1,0,0,0,1,7,8
401633709,2024-04-28,2024,BSB_WEST_VIRGINIA,BSB_BAYLOR,55798,67369,5,4,0,0,2,1,0,0,13,4
401633299,2024-04-28,2024,BSB_KANSAS,BSB_TEXAS_TECH,79954,77707,4,0,1,0,3,0,0,0,7,3
401632577,2024-04-28,2024,BSB_GEORGIA_TECH,NCAA_614661,77178,77461,8,3,1,0,1,0,0,0,17,1
401628159,2024-04-28,2024,BSB_LSU,BSB_AUBURN,77067,77426,2,0,1,0,3,2,0,0,5,7
401627992,2024-04-30,2024,BSB_ARKANSAS,NCAA_614746,66090,81261,4,0,0,2,2,1,1,0,12,7
401632272,2024-04-30,2024,BSB_TENNESSEE,NCAA_614840,77692,79894,4,1,0,0,7,1,0,0,6,9
401628289,2024-04-30,2024,NCAA_614831,BSB_GEORGIA,60121,77096,0,0,1,0,0,0,0,1,3,9
401632695,2024-04-30,2024,BSB_NC_STATE,NCAA_614678,77038,51019,2,1,0,0,5,0,0,0,4,5
401628184,2024-04-30,2024,BSB_FLORIDA,NCAA_614604,65678,69963,5,1,1,0,6,1,0,0,10,8
401632624,2024-04-30,2024,BSB_LOUISVILLE,NCAA_614695,78121,78459,5,3,0,0,5,1,0,0,11,7
401633710,2024-04-30,2024,BSB_BAYLOR,NCAA_614792,78033,81487,5,0,0,0,3,0,0,0,5,3
401632392,2024-04-30,2024,BSB_LSU,NCAA_614771,46439,8135,7,5,3,0,0,1,0,0,26,2
401627993,2024-05-01,2024,BSB_ARKANSAS,NCAA_614746,66068,81273,4,2,0,0,5,0,0,0,8,5
401633172,2024-05-01,2024,BSB_VIRGINIA,NCAA_614799,64801,64766,6,2,0,0,0,0,0,0,10,0
401632240,2024-05-01,2024,BSB_SOUTH_CAROLINA,NCAA_614597,77241,78194,5,2,2,0,0,1,0,0,15,2
401628782,2024-05-01,2024,NCAA_614666,BSB_OLE_MISS,54374,65739,3,1,0,0,1,0,0,0,5,1
401633583,2024-05-02,2024,NCAA_614661,BSB_BYU,57462,82530,3,0,0,0,2,0,0,0,3,2
401632365,2024-05-04,2024,BSB_LSU,NCAA_614788,77072,54758,2,2,0,0,4,0,0,0,6,4
401627994,2024-05-03,2024,BSB_KENTUCKY,BSB_ARKANSAS,77665,59632,3,0,0,0,6,2,0,0,3,10
401657403,2024-05-03,2024,BSB_FLORIDA,BSB_TENNESSEE,54625,77701,0,1,0,0,6,0,0,0,2,6
401628740,2024-05-03,2024,NCAA_614666,BSB_ALABAMA,77327,77268,6,0,1,1,3,0,0,0,13,3
401628290,2024-05-03,2024,BSB_GEORGIA,BSB_VANDERBILT,64926,54561,3,2,1,0,0,0,0,0,10,0
401633618,2024-05-03,2024,BSB_NOTRE_DAME,NCAA_614710,50610,82151,1,0,0,0,1,1,0,0,1,3
401633584,2024-05-03,2024,NCAA_614661,BSB_BYU,57457,61306,2,0,0,1,2,1,0,0,6,4
401628160,2024-05-03,2024,BSB_AUBURN,BSB_OLE_MISS,77432,54857,5,1,0,0,5,0,2,0,7,11
401633071,2024-05-03,2024,BSB_BAYLOR,BSB_TCU,57524,77518,1,0,0,0,3,0,0,1,1,7
401632366,2024-05-05,2024,BSB_LSU,NCAA_614788,77070,65630,6,0,0,0,4,0,0,0,6,4
401627995,2024-05-04,2024,BSB_KENTUCKY,BSB_ARKANSAS,77652,54485,4,2,1,0,1,1,0,0,11,3
401628216,2024-05-04,2024,BSB_FLORIDA,BSB_TENNESSEE,54613,52628,1,1,0,0,5,4,1,0,3,16
401628291,2024-05-04,2024,BSB_GEORGIA,BSB_VANDERBILT,46059,54566,5,3,1,0,2,1,0,0,14,4
401633585,2024-05-04,2024,NCAA_614661,BSB_BYU,77461,82531,2,0,0,0,4,2,0,0,2,8
401633072,2024-05-04,2024,BSB_BAYLOR,BSB_TCU,67375,17739,3,2,0,0,7,1,0,0,7,9
401633619,2024-05-04,2024,BSB_NOTRE_DAME,NCAA_614710,80385,82172,4,4,1,0,5,0,1,0,15,8
401633533,2024-05-04,2024,NCAA_614635,BSB_KANSAS,55189,79961,0,0,0,0,2,1,0,0,0,4
401628161,2024-05-05,2024,BSB_AUBURN,BSB_OLE_MISS,65349,77586,2,1,0,0,3,1,0,0,4,5
401632367,2024-05-05,2024,BSB_LSU,NCAA_614788,65172,77750,2,1,0,0,5,1,1,1,4,14
401627996,2024-05-05,2024,BSB_KENTUCKY,BSB_ARKANSAS,54443,77006,5,1,0,0,4,0,0,0,7,4
401628742,2024-05-05,2024,NCAA_614666,BSB_ALABAMA,54365,54511,5,0,0,0,5,1,1,0,5,10
401628292,2024-05-05,2024,BSB_GEORGIA,BSB_VANDERBILT,77096,65438,6,1,1,0,7,0,0,0,11,7
401633620,2024-05-05,2024,BSB_NOTRE_DAME,NCAA_614710,70495,64756,4,2,0,0,4,1,0,0,8,6
